model profession type cosine-sim(Primed) cosine-sim(Baseline) cosine-sim-change
gpt2 barber generic 0.9909536242485046 0.9924089908599854 0.0014553666114807129
gpt2 breeder generic 0.989399790763855 0.98670494556427 -0.002694845199584961
gpt2 janitor generic 0.993324339389801 0.9951843023300171 0.0018599629402160645
gpt2 nurse generic 0.9815722703933716 0.9890753030776978 0.007503032684326172
gpt2 barber specific 0.9909536242485046 0.9915189743041992 0.0005653500556945801
gpt2 breeder specific 0.989399790763855 0.9905205368995667 0.00112074613571167
gpt2 janitor specific 0.993324339389801 0.9971432685852051 0.0038189291954040527
gpt2 nurse specific 0.9815722703933716 0.9868918657302856 0.0053195953369140625
distilgpt2 barber generic 0.9936922788619995 0.9939213991165161 0.00022912025451660156
distilgpt2 breeder generic 0.990929126739502 0.9913178086280823 0.00038868188858032227
distilgpt2 janitor generic 0.9948415160179138 0.9957714676856995 0.0009299516677856445
distilgpt2 nurse generic 0.9887126684188843 0.9931158423423767 0.004403173923492432
distilgpt2 barber specific 0.9936922788619995 0.9937737584114075 8.147954940795898e-05
distilgpt2 breeder specific 0.990929126739502 0.9918476939201355 0.0009185671806335449
distilgpt2 janitor specific 0.9948415160179138 0.9960083961486816 0.0011668801307678223
distilgpt2 nurse specific 0.9887126684188843 0.9904980063438416 0.0017853379249572754
bert-base-uncased barber generic 0.44646647572517395 0.709394633769989 0.26292815804481506
bert-base-uncased breeder generic 0.36630532145500183 0.612708330154419 0.24640300869941711
bert-base-uncased janitor generic 0.4306221008300781 0.6910814642906189 0.26045936346054077
bert-base-uncased nurse generic 0.3634164333343506 0.8100619316101074 0.44664549827575684
bert-base-uncased barber specific 0.44646647572517395 0.6929675936698914 0.2465011179447174
bert-base-uncased breeder specific 0.36630532145500183 0.6213253736495972 0.25502005219459534
bert-base-uncased janitor specific 0.4306221008300781 0.665621280670166 0.2349991798400879
bert-base-uncased nurse specific 0.3634164333343506 0.7614272832870483 0.39801084995269775
roberta-base barber generic 0.9214564561843872 0.969246506690979 0.0477900505065918
roberta-base breeder generic 0.9458522796630859 0.9754073619842529 0.029555082321166992
roberta-base janitor generic 0.9328019022941589 0.9486345648765564 0.01583266258239746
roberta-base nurse generic 0.9161760210990906 0.9014343023300171 -0.014741718769073486
roberta-base barber specific 0.9214564561843872 0.9648876190185547 0.04343116283416748
roberta-base breeder specific 0.9458522796630859 0.9636715650558472 0.01781928539276123
roberta-base janitor specific 0.9328019022941589 0.9574607014656067 0.024658799171447754
roberta-base nurse specific 0.9161760210990906 0.9084091186523438 -0.007766902446746826
albert-base-v1 barber generic 0.6091722249984741 0.6473944783210754 0.03822225332260132
albert-base-v1 breeder generic 0.3745984435081482 0.4302816689014435 0.05568322539329529
albert-base-v1 janitor generic 0.6420347094535828 0.6215571165084839 -0.020477592945098877
albert-base-v1 nurse generic 0.4915609657764435 0.4037116765975952 -0.08784928917884827
albert-base-v1 barber specific 0.6091722249984741 0.5953441858291626 -0.013828039169311523
albert-base-v1 breeder specific 0.3745984435081482 0.40849360823631287 0.03389516472816467
albert-base-v1 janitor specific 0.6420347094535828 0.5464840531349182 -0.09555065631866455
albert-base-v1 nurse specific 0.4915609657764435 0.38073354959487915 -0.11082741618156433
google/electra-base-generator barber generic 0.6111966967582703 0.5944226980209351 -0.016773998737335205
google/electra-base-generator breeder generic 0.47874003648757935 0.49103009700775146 0.01229006052017212
google/electra-base-generator janitor generic 0.577792763710022 0.5504910945892334 -0.027301669120788574
google/electra-base-generator nurse generic 0.45740804076194763 0.436357319355011 -0.021050721406936646
google/electra-base-generator barber specific 0.6111966967582703 0.6064079403877258 -0.004788756370544434
google/electra-base-generator breeder specific 0.47874003648757935 0.5066618323326111 0.02792179584503174
google/electra-base-generator janitor specific 0.577792763710022 0.6030487418174744 0.025255978107452393
google/electra-base-generator nurse specific 0.45740804076194763 0.4980767071247101 0.04066866636276245
